Track_ID,Document Title,Authors,Publication Title,Publication Year,DOI,CATEGORY,Title,Year,Venue,Abstract
O_ISAC_303,,C. Liang; J. Li; S. Liu; F. Yang; Y. Dong; J. Song; X.-P. Zhang; W. Ding,,,10.1016/j.dsp.2023.104340,,"Integrated sensing, lighting and communication based on visible light communication: A review",2024.0,,
O_ISAC_304,,X. Li; Y. Zhou; G. Wang; S. Zhao; Z. Zhu,,,10.1016/j.optcom.2023.130091,,Photonic joint radar and communication system using a chirp-polarity coded LFM waveform,2024.0,,
O_ISAC_310,,Y. Liu; X. Deng; N. Zhong; X. Zou; W. Pan; L. Yan,,,10.1109/ACP/IPOC63121.2024.10809603,,Simulation of Constant-envelope THz Integrated Sensing and Communication System based on Photonics with 2D Positioning,2024.0,,
O_ISAC_324,,Y. Xu; T. Wang; P. Huang; G. Zeng,,,10.34133/research.0416,,Integrated Distributed Sensing and Quantum Communication Networks,2024.0,,
O_ISAC_327,,P. Tang; Y. Yin; Y. Tong; S. Liu; L. Li; T. Jiang; Q. Wang; M. Mingzhe,,,10.1109/JIOT.2024.3430326,,Channel Characterization and Modeling for VLC-IoE Applications in 6G: A Survey,2024.0,,
O_ISAC_340,,E. Theodoropoulou; G. Lyberopoulos; F. Setaki; C. Marcus; O. Eriksson; B. Schrenk; P. Garcia; S. Royo; J.M. Fábrega; R. Martí­nez; R. Casellas; J.R. Casas; J.A. Lazaro,,,10.1109/CAMAD62243.2024.10942755,,6G-EWOC: AI-Enhanced Fiber-Wireless Optical 6G Network in Support of Connected Mobility,2024.0,,
O_ISAC_347,,N. Zhong; P. Li; W. Bai; W. Pan; L. Yan; X. Zou,,,10.1109/JLT.2023.3265799,,Spectral-Efficient Frequency-Division Photonic Millimeter-Wave Integrated Sensing and Communication System Using Improved Sparse LFM Sub-Bands Fusion,2023.0,,
O_ISAC_348,,H. He; L. Jiang; Y. Pan; A. Yi; X. Zou; W. Pan; A.E. Willner; X. Fan; Z. He; L. Yan,,,10.1038/s41377-022-01067-1,,Integrated sensing and communication in an optical fibre,2023.0,,
O_ISAC_349,,Z. Lyu; L. Zhang; H. Zhang; Z. Yang; H. Yang; N. Li; L. Li; V. Bobrovs; O. Ozoliņš; X. Pang; X. Yu,,,10.1109/TMTT.2023.3267546,,Radar-Centric Photonic Terahertz Integrated Sensing and Communication System Based on LFM-PSK Waveform,2023.0,,
O_ISAC_350,,X.-X. Feng; M.-Y. Han; M.-P. Chen; Q. Fang; Y.-J. Wang; X. Li,,,10.37188/CO.2023-0028,,Integrated Nitride optoelectronic chip for motion detection and visible light communication; 运动探测及可见光通信一体化氮化物光电子芯片,2023.0,,
O_ISAC_351,,L. Tang; Z. Hu; D. Teng; L. Liu,,,10.1016/j.optcom.2023.129484,,Integrated high precision time-of-flight depth sensing and optical communication based on Hamiltonian coding,2023.0,,
O_ISAC_354,,X. Li; M.-Y. Han; M.-P. Chen; Y. Li; F. Qin; G. Zhu; L. Wang; Y.-J. Wang,,,10.1021/acsomega.3c00521,,Integrated Sensing and Communication Chip Based on III-Nitride for Motion Detection,2023.0,,
O_ISAC_356,,Z. Lyu; Z. Lu; Z. Yang; H. Zhang; C. Zhang; H. Yang; N. Li; V. Bobrovs; O. Ozoliņš; X. Pang; X. Yu,,,10.1049/icp.2023.2658,,Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution,2023.0,,
O_ISAC_360,,Y. Jiang; M. Xie; Z. Shi; Y.-J. Wang,,,10.1109/SSLChinaIFWS60785.2023.10399712,,Monolithic III-Nitride Photonic Circuit for Integrated Sensing and Communication System,2023.0,,
O_ISAC_368,,J. Yan; F. Zheng; Y. Li; M. Pan; Y. Wu; J. Liu; F. Chen; Y. Wang; G. Wu; X. Li; Q. Wang; X. An; Z. Chen; P. Xin; Y. Zhao; J. Zhang,,,10.1109/ICOCN59242.2023.10236125,,A Technical Review of Integrated Sensing and Communication in Optical Transmission System,2023.0,,
O_ISAC_371,,Q. Qiu; S. Si; Y. Yu; Y. Dong; C. Yuexin; Y. Yang,,,10.1007/978-3-031-36625-3_10,,Design and Analysis of VLC-OCC-CDMA Rake System,2023.0,,
O_ISAC_377,,M. Lei; B. Hua; Y. Cai; J. Zhang; Y. Zou; W. Tong; X. Liu; M. Fang; J. Yu; M. Zhu,,,10.1364/OE.474055,,Photonics-aided integrated sensing and communications in mmW bands based on a DC-offset QPSK-encoded LFMCW,2022.0,,
O_ISAC_379,,B. Dong; J. Jia; G. Li; J. Shi; H. Wang; J. Zhang; N. Chi,,,10.1364/OE.472693,,Demonstration of photonics-based flexible integration of sensing and communication with adaptive waveforms for a W-band fiber-wireless integrated network,2022.0,,
O_ISAC_381,,J. Li; C. Pan; J. Pan; J. Lin; M. Lu; Z.L. Jiang; J. Fang,,,10.3390/photonics9100721,,"Long-Distance, Real-Time LED Display-Camera Communication System Based on LED Point Clustering and Lightweight Image Processing",2022.0,,
O_ISAC_386,,H. Liu; F. Ma,,,10.1109/OGC52961.2021.9654303,,Design of Visible Light Communication Transceiver System Based on Intelligent Terminal,2021.0,,
O_ISAC_388,,Y. Qiu; H.-H. Chen; J. Li; W. Meng,,,10.1109/MWC.2019.1900071,,VLC-CDMA systems based on optical complementary codes,2020.0,,
