paper_id,medium,mechanism,detection,sensing_task,anchor_count,confidence,evidence_refs
O_ISAC_045,cabled_fibre,shared_frontend,direct,ranging|_localization_2d,26,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_046,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,30,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_hardware; 4D:coherent; 4D:complex_field; 4D:json:rx_detection_type
O_ISAC_047,hybrid,shared_frontend,coherent,ranging|_localization_2d,34,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:signal dimension; 4B:fiber; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_048,wireless_fso,shared_frontend,direct,ranging|_localization_2d,24,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_049,wireless_vlc,shared_frontend,direct,localization,29,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:sensing task type; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_processing; 4C:shared_resources; 4C:shared_waveform; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_050,wireless_vlc,separate_frontends,direct,localization_2d,29,high,4A:detection type; 4A:integration mechanism; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_051,hybrid,shared_frontend,coherent,ranging,43,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fiber; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_052,hybrid,shared_frontend,direct,ranging|_localization_2d,32,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_053,wireless_vlc,shared_frontend,direct,ranging|_localization_2d,24,high,4A:detection type; 4A:integration mechanism; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:sensing task type; 4B:json:oisac_medium_class; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_processing; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_054,hybrid,shared_frontend,direct,localization_2d,59,high,4A:detection type; 4A:integration mechanism; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4A:signal dimension; 4B:fiber; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4C:shared_waveform; 4D:coherent
