Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename
Metasurfaces-Integrated Doubly-Dispersive MIMO: Channel Modeling and Optimization,"Kuranage Roche Rayan Ranasinghe, Hyeon Seok Rou, Iván Alexander Morales Sandoval, Giuseppe Thadeu Freitas de Abreu, George C. Alexandropoulos",-,-,-,1,2025,-
Horus: Enhancing Safe Corners via Integrated Sensing and Communication Enabled by Reconfigurable Intelligent Surface,"Qinpei Luo, Jiahao Gao, Boya Di",10.1145/3636534.3698224,https://doi.org/10.1145/3636534.3698224,ACM/IEEE International Conference on Mobile Computing and Networking,0,2024,-
A Deep Reinforcement Learning Based UAV Trajectory Planning Method For Integrated Sensing And Communications Networks,"Heyun Lin, Zhihai Zhang, Longkun Wei, Zihao Zhou, Tian Zheng",10.1109/VTC2023-Fall60731.2023.10333531,https://doi.org/10.1109/VTC2023-Fall60731.2023.10333531,IEEE Vehicular Technology Conference,4,2023,-
RIS-Based Physical Layer Security for Integrated Sensing and Communication: A Comprehensive Survey,"Yongxiao Li, Feroz Khan, Manzoor Ahmed, Aized Amin Soofi, Wali Ullah Khan, C. K. Sheemar, Muhammad Asif, Zhu Han",10.1109/JIOT.2025.3567553,https://doi.org/10.1109/JIOT.2025.3567553,IEEE Internet of Things Journal,5,2025,-
Conditional Generative Adversarial Networks for Channel Estimation in RIS-Assisted ISAC Systems,"Alice Faisal, Ibrahim Al-Nahhal, Kyesan Lee, O. Dobre, Hyundong Shin",10.1109/tcomm.2025.3541047,https://doi.org/10.1109/tcomm.2025.3541047,IEEE Transactions on Communications,0,2025,-
Beamforming Design for Active IRS-Aided MIMO Integrated Sensing and Communication Systems,"Jin Li, Gui Zhou, Tantao Gong, Nan Liu",10.1109/LWC.2023.3294537,https://doi.org/10.1109/LWC.2023.3294537,IEEE Wireless Communications Letters,16,2023,-
Enabling Efficient Blockage-Aware Handover in RIS-Assisted mmWave Cellular Networks,"Long Jiao, Pu Wang, Amir Alipour-Fanid, Huacheng Zeng, K. Zeng",10.1109/TWC.2021.3110522,https://doi.org/10.1109/TWC.2021.3110522,IEEE Transactions on Wireless Communications,55,2021,-
Robust Beamformer Design for Backscatter-Enabled RIS-Assisted NOMA ISAC,"Faraz Nassar, Keshav Singh, S. Prakriya, Raviteja Allu, Cunhua Pan, Chih-Peng Li",10.1109/ICCWorkshops59551.2024.10615384,https://doi.org/10.1109/ICCWorkshops59551.2024.10615384,2024 IEEE International Conference on Communications Workshops (ICC Workshops),1,2024,-
Integrated Sensing and Communication With Symbiotic Radio and RIS-Assisted Backscatter,"A. Hakimi, Shayan Zargari, C. Tellambura",10.1109/LWC.2024.3486325,https://doi.org/10.1109/LWC.2024.3486325,IEEE Wireless Communications Letters,0,2025,-
Optimization Algorithm for Maximizing Secrecy Rate in RIS-Assisted ISAC Systems,"Jianing Wang, Mian Qin, Jiazhang Yuan, Ankang Liu, Ruina Lian, Jinlong Zhang",10.1109/WCCCT65447.2025.11028019,https://doi.org/10.1109/WCCCT65447.2025.11028019,2025 8th World Conference on Computing and Communication Technologies (WCCCT),0,2025,-
Joint UAV Trajectory and Beamforming Design for RIS-aided Integrated Sensing and Communication System,"Chen Dai, Tianyu Wu, Guozi Sun, Yiping Zuo, Zhengxin Guo, Fu Xiao",10.1109/INFOCOMWKSHPS61880.2024.10620899,https://doi.org/10.1109/INFOCOMWKSHPS61880.2024.10620899,Conference on Computer Communications Workshops,1,2024,-
Enhancing ISAC Network Throughput Using Beyond Diagonal RIS,"Zengrui Liu, Yang Liu, Shanpu Shen, Qingqing Wu, Qingjiang Shi",10.1109/LWC.2024.3386155,https://doi.org/10.1109/LWC.2024.3386155,IEEE Wireless Communications Letters,13,2024,-
Transmit Power Minimization for Double-RIS-Enabled Multi-User ISAC System in Vehicular Networks,"Qi Zhang, Wenqi Xiao, Pengcheng Zhu, Yu Yao, Weibin Zhang, Feng Shu",10.1109/TITS.2025.3549889,https://doi.org/10.1109/TITS.2025.3549889,IEEE transactions on intelligent transportation systems (Print),0,2025,-
Enhancing Performance of Integrated Sensing and Communication via Joint Optimization of Hybrid and Passive Reconfigurable Intelligent Surfaces,"Jingwen Zhang, Siqiang Wang, Zhong Zheng, Zesong Fei, Hanxiao Yu, Qin Zhang, Zhu Han",10.1109/JIOT.2024.3425164,https://doi.org/10.1109/JIOT.2024.3425164,IEEE Internet of Things Journal,3,2024,-
NOMA as the Next-Generation Multiple Access in Nonterrestrial Networks,"Baha Eddine Youcef Belmekki, M. Alouini",10.1109/JPROC.2024.3496775,https://doi.org/10.1109/JPROC.2024.3496775,Proceedings of the IEEE,3,2024,-
RIS-Assisted Integrated Sensing and Communication Systems: Joint Reflection and Beamforming Design,"Mohamed I. Ismail, A. Shaheen, Mostafa M. Fouda, Ahmed S. Alwakeel",10.1109/OJCOMS.2024.3353770,https://doi.org/10.1109/OJCOMS.2024.3353770,IEEE Open Journal of the Communications Society,19,2024,-
Dual-RIS Assisted 3D Positioning and Beamforming Design in ISAC System,"Dejie Ma, Zhiquan Bai, Jinqiu Zhao, Hao Xu, Zeyu Liu, Di Zhou, Mingyan Jiang, Kyungsup Kwak",10.23919/ICACT60172.2024.10471980,https://doi.org/10.23919/ICACT60172.2024.10471980,International Conference on Advanced Communication Technology,1,2024,-
Joint Beamforming and Phase Shift Design for RIS-Aided ISAC System,"Yuying Mai, H. Du",10.1109/ICCC56324.2022.10065868,https://doi.org/10.1109/ICCC56324.2022.10065868,International Conference on Innovative Computing and Cloud Computing,4,2022,-
Sensing-Enabled Predictive Beamforming Design for RIS-Assisted V2I Systems: A Deep Learning Approach,"Fanghao Xia, Zesong Fei, Jingxuan Huang, Xinyi Wang, Ruixiang Wang, Weijie Yuan, Derrick Wing Kwan Ng",10.1109/TWC.2023.3327362,https://doi.org/10.1109/TWC.2023.3327362,IEEE Transactions on Wireless Communications,14,2024,-
