study_cluster_id,primary_report_id,primary_screening_record_id,title,year,venue,canonical_modality,validation_maturity_max,survey_use_status,eligible_report_count,eligible_report_lineage,independent_human_status
STC-SINGLETON-SCR-00937,RPT-SCR-00937-01,SCR-00937,Simulation of Constant-Envelope THz Integrated Sensing and Communication System Based on Photonics with 2D Positioning,2024,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),photonic_THz,2,survey_ready,1,RPT-SCR-00937-01 (SCR-00937; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00941,RPT-SCR-00941-01,SCR-00941,Joint Design of Optical Phased Array Beamforming and OFDM Waveform in Optical Wireless Integrated Sensing and Communication,2026,IEEE Transactions on Wireless Communications,FSO,2,survey_ready,1,RPT-SCR-00941-01 (SCR-00941; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00943,RPT-SCR-00943-01,SCR-00943,Monolithic III-Nitride Photonic Circuit for Integrated Sensing and Communication System,2023,2023 20th China International Forum on Solid State Lighting & 2023 9th International Forum on Wide Bandgap Semiconductors (SSLCHINA: IFWS),VLC_LiFi,5,survey_ready,1,RPT-SCR-00943-01 (SCR-00943; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00944,RPT-SCR-00944-01,SCR-00944,Heterogeneous Integrated III-V-on-Soi Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication,2025,2025 European Conference on Optical Communications (ECOC),hybrid_optical,5,survey_ready_with_claim_restrictions,1,RPT-SCR-00944-01 (SCR-00944; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00949,RPT-SCR-00949-01,SCR-00949,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),2022,2022 Optical Fiber Communications Conference and Exhibition (OFC),fiber,3,survey_ready,1,RPT-SCR-00949-01 (SCR-00949; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00953,RPT-SCR-00953-01,SCR-00953,A Beam-Scannable Photonic THz-ISAC System Based on Risley Prisms,2023,2023 Asia Communications and Photonics Conference/2023 International Photonics and Optoelectronics Meetings (ACP/POEM),photonic_THz,4,survey_ready,1,RPT-SCR-00953-01 (SCR-00953; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00954,RPT-SCR-00954-01,SCR-00954,Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM,2026,IEEE Transactions on Microwave Theory and Techniques,photonic_THz,4,survey_ready,1,RPT-SCR-00954-01 (SCR-00954; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00959,RPT-SCR-00959-01,SCR-00959,Fiber Events Recognition in Integrated Sensing and Communication Systems Based on Signal State of Polarization Analysis,2025,2025 Photonics & Electromagnetics Research Symposium - Fall (PIERS-Fall),fiber,4,survey_ready,1,RPT-SCR-00959-01 (SCR-00959; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00965,RPT-SCR-00965-01,SCR-00965,Microwave Photonics Empowered Minimalist Base Station for Integrated Sensing and Communication via Cascaded Intensity and Phase Modulation,2026,Journal of Lightwave Technology,photonic_THz,4,survey_ready,1,RPT-SCR-00965-01 (SCR-00965; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00970,RPT-SCR-00970-01,SCR-00970,Spectral-Efficient Frequency-Division Photonic Millimeter-Wave Integrated Sensing and Communication System Using Improved Sparse LFM Sub-Bands Fusion,2023,Journal of Lightwave Technology,photonic_THz,5,survey_ready,1,RPT-SCR-00970-01 (SCR-00970; primary_source; standalone_primary_report),not_documented
