"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"MIMO Dual-Functional Radar-Communication Waveform Design With Peak Average Power Ratio Constraint","Y. Zhao; Y. Chen; M. Ritchie; W. Su; H. Gu","Department of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Electronic and Electrical Engineering, University College London, London, U.K.; Department of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China",IEEE Access,"13 Jan 2021","2021","9","","8047","8053","In this paper, novel Dual-Functional Radar-Communication (DFRC) waveforms with peak average power ratio (PAPR) constraint are designed, which are under the multiple-input multiple-output (MIMO) radar-communication system. The DFRC waveforms transmitted by multiple antennas can send communication information to many downlink cellular users and detect radar targets simultaneously. An optimization model is established to minimize the downlink multi-user interference (MUI) under PAPR constraint. The model is non-convex quadratically constrained quadratic programs (QCQP) and can be derived into a convex problem and solved by using the semi-definite relaxation (SDR) technique with rank-one approximation. Numerical simulations demonstrate that our proposed waveforms can achieve a better radar performance in practical scenarios without sacrificing the communication performance.","2169-3536","","10.1109/ACCESS.2020.3045083","National Natural Science Foundation of China(grant numbers:61671246,61801221); Jiangsu Planned Projects for Postdoctoral Research Funds(grant numbers:2018K043C); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9294030","Spectral coexistence;dual-functional radar-communication;non-convex optimization;semi-definite relaxation;peak average power ratio constraint","Radar detection;Radar;Peak to average power ratio;Numerical simulation;Downlink;Radar antennas;MIMO","","12","","29","CCBY","15 Dec 2020","2021","","IEEE","IEEE Journals"
"A Rough Surface-Aided Non-Line-of-Sight Joint Sensing and Communication System for THz Band","S. Rafique; H. Arslan","Department of Electrical and Electronics Engineering, Istanbul Medipol University, Istanbul, Türkiye; Department of Electrical and Electronics Engineering, Istanbul Medipol University, Istanbul, Türkiye",IEEE Open Journal of the Communications Society,"7 Apr 2025","2025","6","","2239","2255","Non-line-of-sight (NLoS) joint sensing and communication (JSAC) are essential in the terahertz (THz) band due to the susceptibility of high frequencies to blockages and severe pathloss, which greatly restrict the range of wireless links. To mitigate pathloss, large antenna arrays with ultra-narrow beams are commonly employed; however, their limited angular coverage poses challenges in NLoS scenarios. This work introduces a joint approach leveraging massive multiple-input multiple-output (mMIMO) systems and rough surface (RS) scattering to enable NLoS JSAC in the THz band. A geometry-based stochastic model (GBSM) is employed to characterize specular and diffuse scattering from the RS which is modeled using Kirchhoff approximation (KA), whereas Beckmann-Kirchhoff (BK) scattering theory is applied to calculate power per ray. A novel algorithm is proposed to identify the angles of target-associated diffusely scattered rays using high-resolution direction-of-arrival (DoA) estimation techniques. Target parameters such as range and velocity are estimated by analyzing the additional delay imparted by the target on the diffusely scattered rays from the RS. Simulation results illustrate the impact of surface roughness, antenna array size, and specular point misalignment on target detection, while communication performance is assessed by analyzing the effects of surface roughness and antenna array size on channel capacity, highlighting significant performance gains for intermediate/medium RS.","2644-125X","","10.1109/OJCOMS.2025.3552635","Scientific and Technological Research Council of Turkey (TUBITAK)(grant numbers:124R022); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10930959","Diffuse scattering;joint sensing and communication;non-line-of-sight sensing and communication;rough surface;specular reflection","Scattering;Surface roughness;Rough surfaces;Terahertz communications;Sensors;Reflection;Surface waves;Antenna arrays;Optical surface waves;Object detection","","2","","50","CCBY","18 Mar 2025","2025","","IEEE","IEEE Journals"
"Toward Joint Radar, Communication, Computation, Localization, and Sensing in IoT","M. Nemati; Y. H. Kim; J. Choi","School of Information and Technology, Deakin University, Geelong, VIC, Australia; Department of Electronics and Information Convergence Engineering, Kyung Hee University, Yongin, Republic of Korea; School of Information and Technology, Deakin University, Geelong, VIC, Australia",IEEE Access,"2 Feb 2022","2022","10","","11772","11788","Since the 1960s, joint sensing and communication (JSAC) has been proposed as an attractive technique with advantages of enhanced spectral and hardware efficiency along with low latency. However, in those old days, complex transceiver designs hindered the massive adoption of JSAC in many applications. Nevertheless, thanks to advancing wireless technologies in recent years, JSAC has recently attracted substantial attention for a wide range of civil and military applications. In particular, JSAC enables simultaneous sensing and communication functionalities with the full cooperation of both operations in shared resources such as hardware as well as radio resources (i.e., frequency, time, space and so on). Note that sensing functionality is associated with other sub-functionalities of radio-detection-and-ranging (Radar), computation, and localization which are sporadically used terms in the literature. Thus, to generalize the concept and avoid any confusion, we use the term “sensing” in the acronym JSAC as a consistent and general term associated with the other aforementioned sub-functionalities. This paper elaborates on defining sensing and communication operations and then, provides an overview with preliminaries, key latest findings, and state-of-the-art of JSAC. It also explores both existing and emerging Internet of Things (IoT) applications of JSAC. Next, it provides a new classification of JSAC technologies by taking into account not only the existing JSAC technologies but also a diverse range of technologies that allow JSAC to be used for various types of IoT applications. Eventually, this study projects future research directions and challenges of enabling JSAC in IoT.","2169-3536","","10.1109/ACCESS.2022.3146830","Australian Research Council (ARC) Discovery 2020 Funding(grant numbers:DP200100391); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9694609","Communication;computation;localization;radar;sensing;IoT","Sensors;Radar;Internet of Things;Radio frequency;Spaceborne radar;Radar detection;Terminology","","33","","114","CCBY","27 Jan 2022","2022","","IEEE","IEEE Journals"
"UAV-Based Intelligent Sensing Over CF-mMIMO Communications: System Design and Experimental Results","J. Sun; W. Shi; J. Yao; W. Xu; D. Wang; Y. Cao","National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China",IEEE Open Journal of the Communications Society,"21 Apr 2025","2025","6","","3211","3221","This paper presents an uncrewed aerial vehicle (UAV)-based intelligent sensing system designed to operate within a cell-free massive multiple-input multiple-output (CF-mMIMO) network, addressing key limitations in performing integrated sensing and communication (ISAC) over UAVs. By exploiting the high-speed maneuverability of UAVs and the distributed and user-centric nature of the CF-mMIMO architecture, the proposed system enhances both sensing accuracy and communication reliability in highly dynamic environments. To perform high-precision target recognition, we introduce the fine-tuning YOLOv5s model with hardware acceleration specifically for the low-altitude UAV scenarios. Moreover, we propose an enhanced target tracking algorithm, which is further integrated with Kalman filter-based trajectory prediction for performance improvement. A prototype system is designed and implemented to validate the proposed framework. Extensive experimental evaluations conducted in realistic environments demonstrate significant improvements in both communication reliability and sensing performance. The results show that the proposed system outperforms traditional UAV-based approaches, achieving notable increases in Success Rate  $(3.4\%)$  and Precision  $(1.7\%)$  compared to existing methods.","2644-125X","","10.1109/OJCOMS.2025.3550975","Major Science and Technology Project of Jiangsu Province(grant numbers:BG2024002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10925439","Uncrewed aerial vehicle (UAV);cell-free massive MIMO;integrated sensing and communication (ISAC);prototype system","YOLO;Target tracking;Accuracy;Target recognition;Heuristic algorithms;Prototypes;Autonomous aerial vehicles;Integrated sensing and communication;Trajectory;Vehicle dynamics","","3","","52","CCBY","14 Mar 2025","2025","","IEEE","IEEE Journals"
"Development of a Modular Educational Kit for Research and Teaching on Power Electronics and Multilevel Converters","W. C. Sant’Ana; B. R. Gama; G. Lambert-Torres; E. L. Bonaldi; L. E. L. Oliveira; F. O. Assuncao; D. A. Arantes; I. A. S. Areias; L. E. Borges-Da-Silva; F. M. Steiner","Instituto Gnarus, Itajuba, Brazil; Instituto de Engenharia de Sistemas e Tecnologias da Informacao (IESTI), Universidade Federal de Itajuba, Itajuba, Brazil; Instituto Gnarus, Itajuba, Brazil; Instituto Gnarus, Itajuba, Brazil; Instituto Gnarus, Itajuba, Brazil; Instituto de Engenharia de Sistemas e Tecnologias da Informacao (IESTI), Universidade Federal de Itajuba, Itajuba, Brazil; Instituto de Engenharia de Sistemas e Tecnologias da Informacao (IESTI), Universidade Federal de Itajuba, Itajuba, Brazil; Instituto de Engenharia de Sistemas e Tecnologias da Informacao (IESTI), Universidade Federal de Itajuba, Itajuba, Brazil; Instituto de Engenharia de Sistemas e Tecnologias da Informacao (IESTI), Universidade Federal de Itajuba, Itajuba, Brazil; EDF Norte Fluminense, Macae, Brazil",IEEE Access,"20 Sep 2021","2021","9","","127496","127514","This paper presents the detailed project of a modular educational kit to be used in research and teaching activities in the area of power electronics - with emphasis on applications in medium voltage multilevel converters. The half bridge topology has been chosen for the submodules, as they can be arranged together in a multitude of other topologies. A system composed by a mother board and daughter cards is presented. A DSP control card and a FPGA System-On-Module are inserted in the mother board in order to control the half bridge submodules. The targets of this project are applications in medium voltage - hence, the communication between the submodules and the FPGA/DSP is performed through optical fibers. Also a self power system is presented for the submodules, in order for them to operate at floating potentials. Experimental results have been presented for the most usual topologies of converters, including a Modular Multilevel Converter operating at 2000V.","2169-3536","","10.1109/ACCESS.2021.3112531","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9536753","Education;modular multilevel converters;power electronics","Topology;Bridge circuits;Multilevel converters;Pulse width modulation;Field programmable gate arrays;Power electronics;Bridges","","5","","37","CCBY","14 Sep 2021","2021","","IEEE","IEEE Journals"
"Adaptive RIS Optimization for Secure Underwater Optical Communications","O. V. M. Betancourt; D. Peraza","School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; Department of Physics, FACYT, University of Carabobo, Valencia, Venezuela",IEEE Access,"3 Sep 2025","2025","13","","151347","151364","Underwater Optical Wireless Communication (UOWC) systems are subject to significant degradation due to dynamic salinity gradients, temperature variations, and turbulence-induced noise, which distort light propagation and compromise data integrity. To mitigate these challenges, we propose an adaptive framework integrating: Long Short-Term Memory (LSTM)-based environmental prediction, Deep Reinforcement Learning (DRL)-based control, and a Non-dominated Sorting Genetic Algorithm II (NSGA-II) multi-objective optimization for real-time reconfiguration of Reconfigurable Intelligent Surface (RIS). The LSTM model forecasts underwater conditions with a mean absolute error (MAE) of 0.008 PSU, facilitating proactive system adaptation. Experimental evaluations demonstrate that the system achieves a 41.4% reduction in BER, reaching a minimum of  $2.3 \,\, {\times }{10}^{-5}$  compared to the static RIS baseline, a secrecy rate of 8.2 bps/Hz, 22.2% energy savings, and low reconfiguration latency of 47.3 ms, ensuring operation within the channel coherence time. These results set a new performance benchmark for secure and efficient UOWC systems, with applications in underwater surveillance, environmental monitoring, and offshore communication networks.","2169-3536","","10.1109/ACCESS.2025.3602057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11143601","Reconfigurable intelligent surfaces;underwater optical communication;salinity adaptation;deep reinforcement learning;physical layer security","Reconfigurable intelligent surfaces;Optimization;Adaptation models;Long short term memory;Salinity (geophysical);Integrated sensing and communication;Optical sensors;Optical scattering;Optical distortion;Optical attenuators","","1","","37","CCBY","28 Aug 2025","2025","","IEEE","IEEE Journals"
"In-Band Full-Duplex for Integrated Sensing and Communication: A Review and Perspective on Advances in Electromagnetics, Antennas, and Propagation","D. Erricolo; B. Smida; P. -Y. Chen; A. Rastgordani; M. Pav; F. Presta; K. E. Kolodziej; D. H. Werner; Z. Zhang; M. Balasubramanian; A. Das","Department of Electrical and Computer Engineering, University of Illlinois Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illlinois Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illlinois Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illlinois Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illlinois Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illlinois Chicago, Chicago, IL, USA; Integrated RF and Photonics Group, Lincoln Laboratory, Massachusetts Institute of Technology, Lexington, MA, USA; Electrical Engineering Department, The Pennsylvania State University, University Park, PA, USA; Department of Electronic Engineering, Tsinghua University, Beijing, China; Electrical Engineering Department, The Pennsylvania State University, University Park, PA, USA; Electrical Engineering Department, The Pennsylvania State University, University Park, PA, USA","IEEE Journal of Selected Topics in Electromagnetics, Antennas and Propagation","3 Nov 2025","2025","1","1","5","19","The capability to simultaneously transmit and receive signals in the same frequency band, known as in-band full-duplex or simultaneous transmit and receive, increases the spectral efficiency and decreases the latency of communication systems. Moreover, sensing systems can also benefit from this capability. However, the primary challenge for successful implementation remains the susceptibility to self-interference (SI). This article reviews various approaches to overcome the challenges presented by SI, focusing primarily on those that can be addressed by taking advantage of knowledge and understanding of electromagnetics, antennas, and propagation.","3066-2494","","10.1109/JSTEAP.2025.3603789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11145123","6G communications;array antennas;circulators;in-band full-duplex (IBFD);integrated sensing and communication (ISAC);interference cancellation;multiple-input multiple-output (MIMO);radio frequency (RF) cancellation;self-interference (SI);simultaneous transmit and receive (STAR);wireless communications","Antennas;Interference cancellation;Microstrip antennas;Transmitting antennas;Freeports;Microstrip;Receiving antennas;Radio frequency;Electromagnetics;Sensors","","","","95","CCBY","29 Aug 2025","Sept. 2025","","IEEE","IEEE Journals"
"Ultrahigh-Performance Radio Frequency System-on-Chip Implementation of a Kalman Filter-Based High-Precision Time and Frequency Synchronization for Networked Integrated Sensing and Communication Systems","R. Ghasemi; P. Fenske; T. Koegel; M. Hehn; I. Ullmann; M. Vossiek","Institute of Microwaves and Photonics, Friedrich–Alexander-Universität Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander-Universität Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander-Universität Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander-Universität Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander-Universität Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander-Universität Erlangen–Nürnberg, Erlangen, Germany",IEEE Open Journal of Instrumentation and Measurement,"4 Feb 2025","2025","4","","1","15","The integration of radar sensing and imaging capabilities into future integrated sensing and communication (ISAC) networks enables advanced use cases, including autonomous vehicle navigation, real-time health monitoring, and smart city management. However, ultraprecise time and frequency synchronization is crucial for unlocking the full potential of such networked ISAC systems. In this article, a novel real-time wireless time and frequency synchronization scheme is developed and fully implemented on a high-end radio frequency system-on-chip field-programmable gate array (FPGA) platform. The excellent performance and robustness of the proposed solution in practical applications are demonstrated. It is evidenced that the recursive nature of the Kalman filter is well suited to the dynamic capabilities of FPGA-based simultaneous synchronization. Observed values obtained through the precision time protocol (PTP) are iteratively refined, thus effectively compensating for uncertainties encountered during a synchronization packet exchange. Due to the deterministic processing time inherent in the FPGA, the proposed synchronization method achieves exceptional precision, with clock offset deviations in the nanosecond range and clock rate deviations limited to only a few parts per billion, even across considerable distances between the network nodes.","2768-7236","","10.1109/OJIM.2025.3527532","German Research Foundation (DFG; GRK 2680)(grant numbers:437847244); German Federal Ministry of Education and Research (BMBF) in the framework of the 6G Research Hub 6GEM(grant numbers:16KISK044); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10835166","Field-programmable gate array (FPGA);Kalman filter for time offset and frequency skew estimation;precision time protocol (PTP);time and frequency synchronization;wireless sensor network (WSN) synchronization","Synchronization;Clocks;Time-frequency analysis;Frequency synchronization;Kalman filters;Sensors;Protocols;Frequency estimation;Wireless sensor networks;Real-time systems","","8","","32","CCBY","9 Jan 2025","2025","","IEEE","IEEE Journals"
"Radar-LiDAR Fusion-Aided RF Beams Prediction for Vehicular Communications","Z. Ye; Y. He; G. Yu; P. Loskot","College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Computing and Data Science, Nanyang Technological University, Jurong West, Singapore; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; University of Illinois Urbana-Champaign Institute, Zhejiang University, Haining, China",IEEE Open Journal of the Communications Society,"26 Jun 2025","2025","6","","5121","5134","The large-scale antenna arrays have become a critical component of the cellular networks infrastructure, since the roll-out of 5G networks. They allow supporting the increased number of mobile users by creating multiple radio-frequency (RF) beams. The hidden problem is the large communication overhead associated with the beamforming in cells with many highly mobile users. In order to reduce the beamforming overhead, the radar-sensing at the base stations has been recently proposed. In this paper, the tracking of mobile users is further enhanced by considering the fusion of radar and LiDAR. It is shown that the fusion improves the accuracy of beam predictions. The radar-LiDAR fusion is designed as a two-step process. In the first step, the relevant features are extracted from sensing data. In the second step, a novel multimodal transformer (MMT) has been devised to perform the data fusion from different sources. In addition, the trade-off between the number of beams and the beam selection is exploiting by adopting beam-pruning. The proposed scheme is evaluated numerically using the DeepSense 6G real-world dataset. The numerical results confirm that the MMT fusion outperforms other deep neural network architectures in terms of both the beam prediction accuracy and the beam stability. These results translate directly into improved beamforming and communication efficiency.","2644-125X","","10.1109/OJCOMS.2025.3577193","Research Grant from Zhejiang University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11027517","Beamforming;LiDAR;multimodal fusion;radar;transformer;vehicular communications","Radar;Laser radar;Radar antennas;Sensors;Array signal processing;Accuracy;Symbols;Chirp;Radio frequency;Arrays","","1","","23","CCBY","6 Jun 2025","2025","","IEEE","IEEE Journals"
"The Emergence of Multi-Functional and Hybrid Reconfigurable Intelligent Surfaces for Integrated Sensing and Communications - A Survey","A. Tishchenko; M. Khalily; A. Shojaeifard; F. Burton; E. Björnson; M. Di Renzo; R. Tafazolli","5G & 6G Innovation Center, Institute for Communication Systems, University of Surrey, Guildford, U.K.; 5G & 6G Innovation Center, Institute for Communication Systems, University of Surrey, Guildford, U.K.; Department of Research & Innovation, InterDigital, London, U.K.; Applied Research, British Telecom, London, U.K.; Department of Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Université Paris-Saclay, CNRS, CentraleSupélec, Laboratoire des Signaux et Systèmes, Gif-sur-Yvette, France; 5G & 6G Innovation Center, Institute for Communication Systems, University of Surrey, Guildford, U.K.",IEEE Communications Surveys & Tutorials,"17 Oct 2025","2025","27","5","2895","2936","Reconfigurable intelligent surfaces (RIS) are positioned as one of the key enabling technologies for 6G networks as they can provide ubiquitous coverage for areas with blocked line-of-sight (LOS) links. However, to be successfully integrated into functional networks such structures will require the addition of sensors and other radio network elements, thereby resulting in a multi-functional RIS (MF-RIS). These structures are expected to be deployed for integrated sensing and communications (ISAC) and radar and communication coexistence (RCC) in 6G, which will enhance the performance of radio communication and enable a smart wireless environment (SWE) that is programmable and self-reconfigurable. This survey provides an up-to-date summary of the state of the art. It considers applications for MF-RISs and the challenges associated with their deployment.","1553-877X","","10.1109/COMST.2024.3519785","European Commission through the Horizon Europe Project COVER(grant numbers:101086228); Horizon Europe Project UNITE(grant numbers:101129618); Horizon Europe Project INSTINCT(grant numbers:101139161); Agence Nationale de la Recherche (ANR) through the France 2030 Project ANRPEPR Networks of the Future(grant numbers:NF-YACARI 22-PEFT-0005); CHIST-ERA Project PASSIONATE(grant numbers:CHIST-ERA-22-WAI-04,ANR-23-CHR4-0003-01); UK Research & Innovation (UKRI) Engineering & Physical Sciences Research Council (EPSRC) Studentship Project(grant numbers:2655612); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10833623","B5G;6G;RIS;metasurfaces;radio frequency (RF);wireless communications;integrated sensing and communication (ISAC);energy harvesting (EH);hybrid active RIS;multi-functional RIS (MF-RIS);smart wireless environment (SWE);holographic MIMO;centimeter-Wave (cmWave);millimeter-Wave (mmWave);terahertz (THz);sensor data fusion;radar and communication coexistence (RCC);nonorthogonal multiple access (NOMA);simultaneous transmit and receive (STAR)","Metasurfaces;5G mobile communication;Millimeter wave communication;Surveys;6G mobile communication;Metamaterials;Tutorials;Massive MIMO;Hardware;Radio frequency","","25","","387","CCBY","8 Jan 2025","Oct. 2025","","IEEE","IEEE Journals"
"Qualitative Survey on Artificial Intelligence Integrated Blockchain Approach for 6G and Beyond","V. Pathak; R. J. Pandya; V. Bhatia; O. A. Lopez","Indian Institute of Technology Dharwad, Dharwad, Karnataka, India; Indian Institute of Technology Dharwad, Dharwad, Karnataka, India; Indian Institute of Technology Indore, Indore, Madhya Pradesh, India; Centre for Wireless Communications (CWC), University of Oulu, Oulu, Finland",IEEE Access,"3 Oct 2023","2023","11","","105935","105981","Utilizing the 0.1 to 10 THz spectrum in the next-generation wireless communication networks holds potential for futuristic applications. However, managing resources to accommodate numerous devices raises privacy and security concerns. Further, technology proliferation entwines devices, infrastructure complexity, and resources. Indeed, the transition from 5G (fifth-generation) to 6G (sixth-generation) signifies a progression towards high-speed data rates, minimal latency, and seamless integration of artificial intelligence, enabling ground-breaking applications and services. However, it complicates network management, privacy, resource allocation, and data processing. Notably, integrating Blockchain Technology (BCT) and Machine Learning (ML) is a promising solution, enhancing security, decentralization, trust in ML decisions, and efficient data sharing. This survey thoroughly reviews the integrated ML and BCT, showcasing their collaborative enhancement of network security, decentralization, trust in ML decisions, immutability, and efficient model sharing. Furthermore, we also delve into various distinctive topics, such as BCT-enabled spectrum refarming, rate splitting multiple access, 6G radar-based communication, reconfigurable intelligent surfaces, visible light communication, and integrated sensing and communication. Moreover, it also explores the integration of ML and BCT in novel 6G communication technologies, including molecular, holographic, and semantic communication. Finally, critical open issues, challenges, solutions, and futuristic scope are identified for forthcoming researchers.","2169-3536","","10.1109/ACCESS.2023.3319083","Science and Engineering Research Board (SERB), Indian Institute of Technology Dharwad, India(grant numbers:EEQ/2020/000047); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10262312","Terahertz (THz) communication;artificial intelligence (AI);machine learning (ML);blockchain technology (BCT);resource allocation (RA)","6G mobile communication;Wireless communication;Artificial intelligence;Communication networks;Surveys;Resource management;Blockchains;Terahertz communications;Machine learning","","18","","259","CCBY","25 Sep 2023","2023","","IEEE","IEEE Journals"
"Towards a Unified Framework for Physical Layer Security in 5G and Beyond Networks","M. S. J. Solaija; H. Salman; H. Arslan","Department of Electrical and Electronics Engineering, Istanbul Medipol University, Istanbul, Turkey; Department of Electrical and Electronics Engineering, Istanbul Medipol University, Istanbul, Turkey; Department of Electrical and Electronics Engineering, Istanbul Medipol University, Istanbul, Turkey",IEEE Open Journal of Vehicular Technology,"13 Jul 2022","2022","3","","321","343","Wireless systems have become an increasingly pivotal part of our lives. Various critical applications and use cases such as healthcare, financial transactions, e-commerce, transportation, industrial automation, etc. rely on secure and reliable communication for their proper operation. Despite their widespread adoption, conventional cryptographic security mechanisms are unable to scale with the increasingly decentralized and heterogeneous networks. Physical layer security (PLS), on the other hand, provides a promising complementary solution to ensure authenticity, confidentiality, integrity, and availability of legitimate transmissions by exploiting the dynamic characteristics of the wireless environment. Despite the plethora of literary works regarding different facets of PLS being present, a unified framework is still absent. In this paper, we provide a PLS framework that not only encompasses the existing works but also enables the development of next-generation PLS methods. In line with this, the importance of PLS for emerging technologies such as joint sensing and communication, vehicular communication, non-terrestrial networks, millimeter-wave, terahertz communication, etc. is highlighted. Furthermore, the key challenges and directions for future PLS mechanisms are identified.","2644-1330","","10.1109/OJVT.2022.3183218","Türkiye Bilimsel ve Teknolojik Araştırma Kurumu(grant numbers:120C142); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796609","Artificial noise;authentication;availability;beamforming;channel;confidentiality;cooperative transmission;eavesdropping;integrity;jamming;physical layer security;PLS;radio environment;sensing;signal;spoofing;wireless security","Physical layer security;Cryptography;Communication system security;Wireless communication;Radio frequency;Jamming","","45","","210","CCBY","15 Jun 2022","2022","","IEEE","IEEE Journals"
"An Intelligent Path Loss Prediction Approach Based on Integrated Sensing and Communications for Future Vehicular Networks","Z. Wei; B. Mao; H. Guo; Y. Xun; J. Liu; N. Kato","National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, School of Cybersecurity, Northwestern Polytechnical University, Xi'an, China; National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, School of Cybersecurity, Northwestern Polytechnical University, Xi'an, China; National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, School of Cybersecurity, Northwestern Polytechnical University, Xi'an, China; National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, School of Cybersecurity, Northwestern Polytechnical University, Xi'an, China; National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, School of Cybersecurity, Northwestern Polytechnical University, Xi'an, China; Graduate School of Information Sciences, Tohoku University, Sendai, Japan",IEEE Open Journal of the Computer Society,"25 Apr 2024","2024","5","","170","180","The developments of communication technologies, Internet of Things (IoT), and Artificial Intelligence (AI) have significantly accelerated the advancement of Intelligent Transportation Systems (ITS) and Autonomous Driving (AD) in recent years. The exchange of sensed information by widely deployed radars, cameras, and other sensors on vehicles and roadside infrastructure can improve the traffic awareness of drivers and pedestrians. However, wireless data transmission in vehicular networks is challenged by highly dynamic path loss due to utilized frequency bands, weather conditions, traffic overheads, and geographical conditions. In this paper, we propose an Integrated Sensing and Communication System (ISAC) based path loss prediction approach to improve the knowledge of wireless data transmissions in vehicular networks, which utilizes multi-modal data collected by millimeter-wave (mmWave) radars, laser radars, and cameras to forecast the end-to-end path loss distribution. By leveraging a generative adversarial network for parameter initialization coupled with fine-tuning through supervised learning, the model's accuracy can be significantly improved. To increase the model's scalability, the effects of weather conditions, geographical conditions, traffic overheads, and frequency bands are all analyzed. According to the simulation results, our model achieves excellent accuracy with Mean Squared Error (MSE) of the predicted path loss distribution below $3e^{-3}$ across five different scenarios.","2644-1268","","10.1109/OJCS.2024.3386733","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10495097","Artificial general intelligence (AGI);autonomous driving (AD);integrated sensing and communications (ISAC);vehicle-to-everything (V2X)","Predictive models;Sensors;Propagation losses;Data models;Laser radar;Vehicle-to-everything;Feature extraction","","8","","44","CCBYNCND","9 Apr 2024","2024","","IEEE","IEEE Journals"
