paper_id,n_scenarios,n_rate,n_drmin,n_drmin_eligible,n_dz,n_dz_eligible,n_sigma_r,n_crb,n_osnr,n_snr,n_plane_mixed,n_imdd_osnr_conflict,n_snr_ambiguous,n_dz_drmin_alias,n_governance_blocked,n_crq_candidate,n_crq_eligible
O_ISAC_131,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_132,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_133,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_136,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_137,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_138,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0
O_ISAC_139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_141,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
O_ISAC_142,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_143,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_145,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_148,2,0,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
O_ISAC_149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_150,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_152,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_153,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_156,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
O_ISAC_157,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
O_ISAC_158,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_159,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_160,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_161,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
