track_id,phase2_source,doi,publication_year,category,present_in_final_corpus,present_in_retrieved_docs,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,provisional_reconstruction_status,notes
O_ISAC_049,phase2_extraction_dataset,10.1109/JIOT.2023.3303137,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_050,phase2_extraction_dataset,10.1109/TITS.2023.3324361,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_051,phase2_extraction_dataset,10.1109/TCOMM.2023.3233962,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_052,phase2_extraction_dataset,10.1109/GLOBECOM52923.2024.10901628,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_053,phase2_extraction_dataset,10.1109/CoBCom55489.2022.9880677,2022,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_054,phase2_extraction_dataset,10.1109/JIOT.2024.3523045,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_055,phase2_extraction_dataset,10.1109/LCOMM.2023.3332658,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_056,phase2_extraction_dataset,10.1109/GCWkshp64532.2024.11101062,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_057,phase2_extraction_dataset,10.1109/ICMMT52847.2021.9618314,2021,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_058,phase2_extraction_dataset,10.1109/TMTT.2024.3355936,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_059,phase2_extraction_dataset,10.1109/ISSE63315.2024.10741118,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_060,phase2_extraction_dataset,10.1109/ACP55869.2022.10088865,2022,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_061,phase2_extraction_dataset,10.1109/TWC.2025.3559254,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_062,phase2_extraction_dataset,10.1109/TSP.2024.3383285,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_063,phase2_extraction_dataset,10.1109/JLT.2024.3352493,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_064,phase2_extraction_dataset,,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_065,phase2_extraction_dataset,10.1109/JLT.2023.3311645,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_066,phase2_extraction_dataset,10.1109/JLT.2024.3483289,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_067,phase2_extraction_dataset,10.46620/URSIATRASC24/MKTB3572,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_068,phase2_extraction_dataset,10.1109/CoBCom62281.2024.10631227,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_069,phase2_extraction_dataset,10.1109/JLT.2023.3273268,2023,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_070,phase2_extraction_dataset,10.1109/JLT.2025.3615209,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_071,phase2_extraction_dataset,10.1109/LPT.2025.3570997,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_072,phase2_extraction_dataset,10.1109/ICOCN67308.2025.11145413,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_073,phase2_extraction_dataset,10.1109/ICT65093.2025.11046275,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_074,phase2_extraction_dataset,10.23919/OECC/PSC62146.2025.11110297,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_075,phase2_extraction_dataset,10.1109/LWC.2025.3593253,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_076,phase2_extraction_dataset,10.1109/JLT.2024.3510371,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_077,phase2_extraction_dataset,10.1109/OECC56963.2023.10209717,2023,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_078,phase2_extraction_dataset,10.1109/JLT.2025.3565115,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_079,phase2_extraction_dataset,10.1109/ECOC66593.2025.11262927,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_080,phase2_extraction_dataset,10.1109/JLT.2025.3625373,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_081,phase2_extraction_dataset,10.23919/EuCAP63536.2025.10999638,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_082,phase2_extraction_dataset,10.1109/TMTT.2025.3638469,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_083,phase2_extraction_dataset,10.1109/EuCNC/6GSummit60053.2024.10597093,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_084,phase2_extraction_dataset,10.1109/GCWkshp64532.2024.11101040,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_085,phase2_extraction_dataset,10.1109/LPT.2025.3577173,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
