track_id,phase2_source,doi,publication_year,category,present_in_final_corpus,present_in_retrieved_docs,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,provisional_reconstruction_status,notes
O_ISAC_310,phase2_extraction_queue,10.1109/ACP/IPOC63121.2024.10809603,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_324,phase2_extraction_queue,10.34133/research.0416,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_327,phase2_extraction_queue,10.1109/JIOT.2024.3430326,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_340,phase2_extraction_queue,10.1109/CAMAD62243.2024.10942755,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_347,phase2_extraction_queue,10.1109/JLT.2023.3265799,2023,WIRELESS,no,yes,yes,yes,assessed_not_in_final_corpus,repository_reconciliation_exclusion_wrong_linked_assets_no_verified_jlt_fulltext
O_ISAC_348,phase2_extraction_queue,10.1038/s41377-022-01067-1,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_349,phase2_extraction_queue,10.1109/TMTT.2023.3267546,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_350,phase2_extraction_queue,10.37188/CO.2023-0028,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_351,phase2_extraction_queue,10.1016/j.optcom.2023.129484,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_354,phase2_extraction_queue,10.1021/acsomega.3c00521,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_356,phase2_extraction_queue,10.1049/icp.2023.2658,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_360,phase2_extraction_queue,10.1109/SSLChinaIFWS60785.2023.10399712,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_368,phase2_extraction_queue,10.1109/ICOCN59242.2023.10236125,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_371,phase2_extraction_queue,10.1007/978-3-031-36625-3_10,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_377,phase2_extraction_queue,10.1364/OE.474055,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_379,phase2_extraction_queue,10.1364/OE.472693,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_381,phase2_extraction_queue,10.3390/photonics9100721,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_386,phase2_extraction_queue,10.1109/OGC52961.2021.9654303,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_388,phase2_extraction_queue,10.1109/MWC.2019.1900071,,,yes,yes,yes,no,included_final_corpus,
